STCN;Biografisch Portaal;Note
http://stcn.data2semantics.org/resource/auteur/067463142;http://www.biografischportaal.nl/persoon/22768805;Match for year 1649
http://stcn.data2semantics.org/resource/auteur/067468500;http://www.biografischportaal.nl/persoon/53200552;Match for year 1680
http://stcn.data2semantics.org/resource/auteur/067469930;http://www.biografischportaal.nl/persoon/39566890;Match for year 1571
http://stcn.data2semantics.org/resource/auteur/067495591;http://www.biografischportaal.nl/persoon/33829700;Match for year 1595
http://stcn.data2semantics.org/resource/auteur/06755993X;http://www.biografischportaal.nl/persoon/38236037;Match for year 1788
http://stcn.data2semantics.org/resource/auteur/067586139;http://www.biografischportaal.nl/persoon/63157801;Match for year 1727
http://stcn.data2semantics.org/resource/auteur/067627447;http://www.biografischportaal.nl/persoon/43740382;Match for year 1769
http://stcn.data2semantics.org/resource/auteur/067645135;http://www.biografischportaal.nl/persoon/48690654;Match for year 1671
http://stcn.data2semantics.org/resource/auteur/067708056;http://www.biografischportaal.nl/persoon/49453080;Match for year 1533
http://stcn.data2semantics.org/resource/auteur/067710905;http://www.biografischportaal.nl/persoon/19864469;Match for year 1648
http://stcn.data2semantics.org/resource/auteur/067763537;http://www.biografischportaal.nl/persoon/82994202;Match for year 1667
http://stcn.data2semantics.org/resource/auteur/067763812;http://www.biografischportaal.nl/persoon/85027779;Match for year 1743
http://stcn.data2semantics.org/resource/auteur/067767567;http://www.biografischportaal.nl/persoon/93295778;Match for year 1609
http://stcn.data2semantics.org/resource/auteur/067773907;http://www.biografischportaal.nl/persoon/07758758;Match for year 1583
http://stcn.data2semantics.org/resource/auteur/067785999;http://www.biografischportaal.nl/persoon/16650636;Match for year 1644
http://stcn.data2semantics.org/resource/auteur/067797954;http://www.biografischportaal.nl/persoon/59063210;Match for year 1583
http://stcn.data2semantics.org/resource/auteur/067818226;http://www.biografischportaal.nl/persoon/75236638;Match for year 1733
http://stcn.data2semantics.org/resource/auteur/067851053;http://www.biografischportaal.nl/persoon/00349034;Match for year 1732
http://stcn.data2semantics.org/resource/auteur/067883001;http://www.biografischportaal.nl/persoon/80550530;Match for year 1602
http://stcn.data2semantics.org/resource/auteur/067885276;http://www.biografischportaal.nl/persoon/08793236;Match for year 1601
http://stcn.data2semantics.org/resource/auteur/067893309;http://www.biografischportaal.nl/persoon/17470300;Match for year 1754
http://stcn.data2semantics.org/resource/auteur/067909922;http://www.biografischportaal.nl/persoon/74956645;Match for year 1527
http://stcn.data2semantics.org/resource/auteur/068006365;http://www.biografischportaal.nl/persoon/17959618;Match for year 1500
http://stcn.data2semantics.org/resource/auteur/068024959;http://www.biografischportaal.nl/persoon/50239887;Match for year 1711
http://stcn.data2semantics.org/resource/auteur/068024983;http://www.biografischportaal.nl/persoon/01158417;Match for year 1622
http://stcn.data2semantics.org/resource/auteur/06802519X;http://www.biografischportaal.nl/persoon/09882076;Match for year 1590
http://stcn.data2semantics.org/resource/auteur/068025394;http://www.biografischportaal.nl/persoon/01011241;Match for year 1723
http://stcn.data2semantics.org/resource/auteur/068027923;http://www.biografischportaal.nl/persoon/24757314;Match for year 1520
http://stcn.data2semantics.org/resource/auteur/068032749;http://www.biografischportaal.nl/persoon/32312507;Match for year 1674
http://stcn.data2semantics.org/resource/auteur/068048262;http://www.biografischportaal.nl/persoon/63518328;Match for year 1640
http://stcn.data2semantics.org/resource/auteur/068049749;http://www.biografischportaal.nl/persoon/52776109;Match for year 1812
http://stcn.data2semantics.org/resource/auteur/068054424;http://www.biografischportaal.nl/persoon/91794429;Match for year 1617
http://stcn.data2semantics.org/resource/auteur/068056281;http://www.biografischportaal.nl/persoon/11103073;Match for year 1705
http://stcn.data2semantics.org/resource/auteur/068060068;http://www.biografischportaal.nl/persoon/83631768;Match for year 1633
http://stcn.data2semantics.org/resource/auteur/068066961;http://www.biografischportaal.nl/persoon/22206022;Match for year 1588
http://stcn.data2semantics.org/resource/auteur/068074107;http://www.biografischportaal.nl/persoon/17764075;Match for year 1705
http://stcn.data2semantics.org/resource/auteur/068074107;http://www.biografischportaal.nl/persoon/33242474;Match for year 1632
http://stcn.data2semantics.org/resource/auteur/068182481;http://www.biografischportaal.nl/persoon/59752272;Match for year 1550
http://stcn.data2semantics.org/resource/auteur/068185685;http://www.biografischportaal.nl/persoon/59868361;Match for year 1570
http://stcn.data2semantics.org/resource/auteur/068187858;http://www.biografischportaal.nl/persoon/21890875;Match for year 1600
http://stcn.data2semantics.org/resource/auteur/068189796;http://www.biografischportaal.nl/persoon/13258130;Match for year 1617
http://stcn.data2semantics.org/resource/auteur/068192169;http://www.biografischportaal.nl/persoon/64671568;Match for year 1650
http://stcn.data2semantics.org/resource/auteur/068192983;http://www.biografischportaal.nl/persoon/63218535;Match for year 1651
http://stcn.data2semantics.org/resource/auteur/06820227X;http://www.biografischportaal.nl/persoon/30639050;Match for year 1563
http://stcn.data2semantics.org/resource/auteur/068203470;http://www.biografischportaal.nl/persoon/79084719;Match for year 1564
http://stcn.data2semantics.org/resource/auteur/068219938;http://www.biografischportaal.nl/persoon/64233946;Match for year 1591
http://stcn.data2semantics.org/resource/auteur/068222602;http://www.biografischportaal.nl/persoon/99879511;Match for year 1548
http://stcn.data2semantics.org/resource/auteur/068222653;http://www.biografischportaal.nl/persoon/26928059;Match for year 1587
http://stcn.data2semantics.org/resource/auteur/068224389;http://www.biografischportaal.nl/persoon/33475440;Match for year 1618
http://stcn.data2semantics.org/resource/auteur/068228619;http://www.biografischportaal.nl/persoon/84447790;Match for year 1683
http://stcn.data2semantics.org/resource/auteur/068238266;http://www.biografischportaal.nl/persoon/64987180;Match for year 1741
http://stcn.data2semantics.org/resource/auteur/06824357X;http://www.biografischportaal.nl/persoon/81350722;Match for year 1585
http://stcn.data2semantics.org/resource/auteur/068247311;http://www.biografischportaal.nl/persoon/05012853;Match for year 1579
http://stcn.data2semantics.org/resource/auteur/068251696;http://www.biografischportaal.nl/persoon/04173160;Match for year 1645
http://stcn.data2semantics.org/resource/auteur/06825170X;http://www.biografischportaal.nl/persoon/09950406;Match for year 1647
http://stcn.data2semantics.org/resource/auteur/068251718;http://www.biografischportaal.nl/persoon/23470322;Match for year 1644
http://stcn.data2semantics.org/resource/auteur/068253338;http://www.biografischportaal.nl/persoon/59141219;Match for year 1708
http://stcn.data2semantics.org/resource/auteur/068253621;http://www.biografischportaal.nl/persoon/16219737;Match for year 1696
http://stcn.data2semantics.org/resource/auteur/06825363X;http://www.biografischportaal.nl/persoon/02866348;Match for year 1645
http://stcn.data2semantics.org/resource/auteur/068256124;http://www.biografischportaal.nl/persoon/52326566;Match for year 1691
http://stcn.data2semantics.org/resource/auteur/068258909;http://www.biografischportaal.nl/persoon/15884842;Match for year 1637
http://stcn.data2semantics.org/resource/auteur/068258909;http://www.biografischportaal.nl/persoon/43821399;Match for year 1637
http://stcn.data2semantics.org/resource/auteur/068264690;http://www.biografischportaal.nl/persoon/04128472;Match for year 1626
http://stcn.data2semantics.org/resource/auteur/068266278;http://www.biografischportaal.nl/persoon/62423809;Match for year 1547
http://stcn.data2semantics.org/resource/auteur/068313438;http://www.biografischportaal.nl/persoon/05437944;Match for year 1753
http://stcn.data2semantics.org/resource/auteur/068313993;http://www.biografischportaal.nl/persoon/04759203;Match for year 1509
http://stcn.data2semantics.org/resource/auteur/068319088;http://www.biografischportaal.nl/persoon/26910383;Match for year 1738
http://stcn.data2semantics.org/resource/auteur/06831910X;http://www.biografischportaal.nl/persoon/12334928;Match for year 1804
http://stcn.data2semantics.org/resource/auteur/068321678;http://www.biografischportaal.nl/persoon/10056280;Match for year 1691
http://stcn.data2semantics.org/resource/auteur/068324138;http://www.biografischportaal.nl/persoon/45702109;Match for year 1752
http://stcn.data2semantics.org/resource/auteur/068325312;http://www.biografischportaal.nl/persoon/21416327;Match for year 1511
http://stcn.data2semantics.org/resource/auteur/068339135;http://www.biografischportaal.nl/persoon/96343040;Match for year 1581
http://stcn.data2semantics.org/resource/auteur/068347561;http://www.biografischportaal.nl/persoon/79883919;Match for year 1567
http://stcn.data2semantics.org/resource/auteur/068349696;http://www.biografischportaal.nl/persoon/58537216;Match for year 1605
http://stcn.data2semantics.org/resource/auteur/068350007;http://www.biografischportaal.nl/persoon/64558268;Match for year 1758
http://stcn.data2semantics.org/resource/auteur/068351267;http://www.biografischportaal.nl/persoon/25835391;Match for year 1471
http://stcn.data2semantics.org/resource/auteur/068351771;http://www.biografischportaal.nl/persoon/24950491;Match for year 1688
http://stcn.data2semantics.org/resource/auteur/068355130;http://www.biografischportaal.nl/persoon/98744675;Match for year 1607
http://stcn.data2semantics.org/resource/auteur/068355181;http://www.biografischportaal.nl/persoon/62915263;Match for year 1760
http://stcn.data2semantics.org/resource/auteur/068356439;http://www.biografischportaal.nl/persoon/38699952;Match for year 1632
http://stcn.data2semantics.org/resource/auteur/068356609;http://www.biografischportaal.nl/persoon/87097071;Match for year 1635
http://stcn.data2semantics.org/resource/auteur/068356617;http://www.biografischportaal.nl/persoon/63886336;Match for year 1586
http://stcn.data2semantics.org/resource/auteur/068356625;http://www.biografischportaal.nl/persoon/29003541;Match for year 1659
http://stcn.data2semantics.org/resource/auteur/068356641;http://www.biografischportaal.nl/persoon/44430712;Match for year 1758
http://stcn.data2semantics.org/resource/auteur/068357826;http://www.biografischportaal.nl/persoon/96812999;Match for year 1588
http://stcn.data2semantics.org/resource/auteur/068357834;http://www.biografischportaal.nl/persoon/78231335;Match for year 1741
http://stcn.data2semantics.org/resource/auteur/068359829;http://www.biografischportaal.nl/persoon/15295221;Match for year 1729
